"","Model","RMSE_log","RMSE_log_scaled","RMSE_lin_bias","RMSE_lin_bask","RMSE_lin_bias_scaled","RMSE_lin_bask_scaled","meanAGB","RRMSE_lin_bask_scaled"
"1","1.Fixed",0.572165515167015,0.572165515167015,73.0465117214612,68.3388034216499,73.0465117214609,68.3388034216497,58.1199924743598,117.582264746159
"2","1.MixedInt_Species&Site",0.505632952780604,0.505632952781734,60.5827366258995,55.2511414598463,60.5827366286144,55.2511414623339,58.1199924743598,95.0639170965282
"3","1.MixedIntSlope_Species&Site",0.423883021001248,0.423883279776299,72.9394115625061,69.4730726746791,72.9393194540799,69.4729350519834,58.1199924743598,119.533627060657
"4","1.MixedInt_Species",0.527344991145843,0.527344991145866,69.4871141307241,66.8477250074734,69.4871141307422,66.8477250074741,58.1199924743598,115.016747527909
"5","1.MixedIntSlope_Species",0.484863626718232,0.484863634074264,72.6970930961997,67.9652069569493,72.6970595827545,67.9651699652103,58.1199924743598,116.939399115018
"6","1.MixedInt_Site",0.55260061262081,0.552600612620747,69.5327733256714,63.8978175278898,69.5327733256523,63.8978175278633,58.1199924743598,109.941200622234
"7","1.MixedIntSlope_Site",0.478561647734124,0.478561686943331,78.2005196063952,74.6866379525845,78.2003985710953,74.6864994878127,58.1199924743598,128.50397308768
"8","2.Fixed",0.967438403038262,0.967438403038262,72.9955528892795,68.4265454612664,72.9955528892796,68.4265454612664,38.9916792505074,175.49012193512
"9","2.MixedInt_Species&Site",0.758470547309416,0.758470547307549,69.4319820774961,66.5905627245807,69.4319820777041,66.5905627251626,38.9916792505074,170.781469290775
"10","2.MixedIntSlope_Species&Site",0.674082894123494,0.674082680440934,65.0226989390459,62.8525085257603,65.0226119113388,62.8524106819859,38.9916792505074,161.194418630144
"11","2.MixedInt_Species",0.934599711913912,0.934599711957881,69.6149136406616,65.415227819975,69.6149136716358,65.4152278224525,38.9916792505074,167.767146939693
"12","2.MixedIntSlope_Species",0.92717268159996,0.927172702445817,69.0105191531587,66.0405580444696,69.010521852791,66.0405686002671,38.9916792505074,169.370927002093
"13","2.MixedInt_Site",0.773766265561432,0.773766265561484,69.4399928820581,66.3333675600858,69.4399928820544,66.3333675600406,38.9916792505074,170.121853777758
