"ModelN","Model","MixedEffects","Effects","masterrank_global","value_Rsq","value_AIC","value_BIC","value_RMSE","value_RMSE.Std","value_RMSE.CVmean","value_RMSE.CVsd","value_Singular","value_Sig","value_ICC","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","Rsq.var1","Rsq.var2","Rsq.var3","Rsq.var4","maxVIF"
12,"DBH.cm, Height.m, CanopyDiameter.m","Species&Site","MixedInt",1,0.97607,249.03935,275.82136,0.33071,0.13092,0.3361,0.07185,0,0.33407,0.16025,"12.MixedInt_Species&Site",-1.63002,1.17736,0.86778,0.68682,NA,9.29039,5.47292,3.62643,NA,0.509850990329376,0.328590972106609,0.309212197471112,NA,9.29039
16,"DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",NA,"Fixed",2,0.97372,252.76964,275.72564,0.34513,0.13663,0.34972,0.03924,NA,0.34771,NA,"16.Fixed",-0.8991,1.15082,0.83505,0.70763,1.8618,11.55534,5.10315,5.38479,1.08854,0.487188158008564,0.310388049555138,0.303188003755133,0.0788402840180247,11.55534
12,"DBH.cm, Height.m, CanopyDiameter.m",NA,"Fixed",3,0.97147,278.60894,297.73894,0.3596,0.14236,0.36239,0.05806,NA,0.36174,NA,"12.Fixed",-1.51771,1.08181,0.85324,0.79656,NA,11.09412,5.09042,4.95239,NA,0.446128678819118,0.355763172235526,0.302623791008543,NA,11.09412
4,"Comp.DBH.H.Den","Site","MixedIntSlope",4,0.97457,357.9927,382.01603,0.34429,0.13955,0.35226,0.0523,0,0.35034,0.58109,"4.MixedIntSlope_Site",-1.56058,0.80675,NA,NA,NA,NA,NA,NA,NA,0.968221722323555,NA,NA,NA,-Inf
14,"DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3","Species&Site","MixedInt",5,0.96944,342.22299,369.00499,0.37955,0.15026,0.38943,0.06329,0,0.38315,0.18592,"14.MixedInt_Species&Site",-0.33098,1.7633,0.57494,2.02536,NA,3.33453,3.35937,1.04595,NA,0.802491721378569,0.193227690824805,0.0721741851872031,NA,3.35937
14,"DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3","Site","MixedInt",6,0.96937,340.39589,363.35189,0.38052,0.15064,0.38435,0.08056,0,0.38368,0.19141,"14.MixedInt_Site",-0.32298,1.76259,0.57601,2.04875,NA,3.32768,3.37549,1.09138,NA,0.800825227417825,0.192297720474821,0.0730693172820931,NA,3.37549
7,"DBH.cm, CanopyDiameter.m","Species&Site","MixedInt",7,0.96938,344.2662,367.22221,0.37903,0.15005,0.38768,0.07182,0,0.38318,0.2442,"7.MixedInt_Species&Site",-1.02125,1.75959,0.58165,NA,NA,3.31996,3.31996,NA,NA,0.808832561720986,0.206959504602825,NA,NA,3.31996
7,"DBH.cm, CanopyDiameter.m","Site","MixedInt",8,0.9668,364.98121,384.11121,0.396,0.15677,0.40573,0.06243,0,0.39927,0.17999,"7.MixedInt_Site",-0.98001,1.6952,0.67596,NA,NA,3.10964,3.10964,NA,NA,0.785906745825473,0.247821319101033,NA,NA,3.10964
6,"DBH.cm, Height.m","Species&Site","MixedInt",9,0.96564,442.46866,466.49199,0.3965,0.16071,0.40537,0.06993,0,0.40069,0.22922,"6.MixedInt_Species&Site",-1.61139,1.71859,0.60139,NA,NA,6.03746,6.03746,NA,NA,0.779369830208581,0.149181708071967,NA,NA,6.03746
4,"Comp.DBH.H.Den","Species&Site","MixedInt",10,0.96501,443.78079,463.80023,0.39791,0.16129,0.40453,0.05797,0,0.40221,0.20164,"4.MixedInt_Species&Site",-1.47898,0.79672,NA,NA,NA,NA,NA,NA,NA,0.962264388067607,NA,NA,NA,-Inf
14,"DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",NA,"Fixed",11,0.96188,376.75093,395.88093,0.41561,0.16453,0.41635,0.07091,NA,0.41808,NA,"14.Fixed",-0.22969,1.7538,0.50247,2.07506,NA,4.85936,4.94725,1.08582,NA,0.783465637268918,0.141390257351727,0.0684690568474686,NA,4.94725
6,"DBH.cm, Height.m","Species","MixedInt",12,0.96221,469.38698,489.40641,0.42029,0.17036,0.42283,0.06939,0,0.42179,0.13649,"6.MixedInt_Species",-1.56354,1.76258,0.54176,NA,NA,5.482,5.482,NA,NA,0.77508745852785,0.116585331831496,NA,NA,5.482
13,"DBH.cm, Height.m, WoodDensity.g.cm3",NA,"Fixed",13,0.96199,457.86175,477.88119,0.42062,0.17049,0.42386,0.06216,NA,0.42271,NA,"13.Fixed",-0.50769,1.74922,0.55988,3.10809,NA,5.05013,5.04648,1.00207,NA,0.780891206325086,0.151887153696479,0.12900228344919,NA,5.05013
4,"Comp.DBH.H.Den","Site","MixedInt",14,0.96132,472.79137,488.80691,0.41849,0.16963,0.42469,0.05818,0,0.42189,0.10207,"4.MixedInt_Site",-1.45985,0.7951,NA,NA,NA,NA,NA,NA,NA,0.959108907466646,NA,NA,NA,-Inf
7,"DBH.cm, CanopyDiameter.m",NA,"Fixed",15,0.95908,398.7948,414.0988,0.43061,0.17047,0.42775,0.08299,NA,0.43253,NA,"7.Fixed",-0.90458,1.69137,0.59685,NA,NA,4.55624,4.55624,NA,NA,0.769762110360187,0.190288837047806,NA,NA,4.55624
1,"DBH.cm","Species&Site","MixedIntSlope",16,0.96368,649.1979,687.18321,0.42388,0.19079,0.43788,0.0673,0,0.43133,0.44881,"1.MixedIntSlope_Species&Site",-1.09146,2.05378,NA,NA,NA,NA,NA,NA,NA,0.957805121426922,NA,NA,NA,-Inf
4,"Comp.DBH.H.Den",NA,"Fixed",17,0.95723,501.64007,513.65173,0.44618,0.18085,0.44359,0.0887,NA,0.44728,NA,"4.Fixed",-1.48191,0.80078,NA,NA,NA,NA,NA,NA,NA,0.957230362719559,NA,NA,NA,-Inf
6,"DBH.cm, Height.m",NA,"Fixed",18,0.95518,522.58209,538.59764,0.45673,0.18513,0.45735,0.05931,NA,0.45844,NA,"6.Fixed",-1.56799,1.73798,0.56602,NA,NA,5.04598,5.04598,NA,NA,0.749143837532775,0.113785769008782,NA,NA,5.04598
1,"DBH.cm","Site","MixedIntSlope",19,0.95295,748.35063,773.67417,0.47856,0.2154,0.49021,0.05067,0,0.48507,0.34506,"1.MixedIntSlope_Site",-1.0528,2.0227,NA,NA,NA,NA,NA,NA,NA,0.946196939334684,NA,NA,NA,-Inf
1,"DBH.cm","Species","MixedIntSlope",20,0.95279,736.88118,762.20472,0.48486,0.21824,0.48552,0.08734,0,0.48766,0.26328,"1.MixedIntSlope_Species",-1.02525,2.03848,NA,NA,NA,NA,NA,NA,NA,0.948313960743232,NA,NA,NA,-Inf
