"size","ModelN","Model","NumObservations","MixedEffects","Effects","masterrank_global","value_Rsq","value_AIC","value_BIC","value_RMdSE_lin","value_RelRMdSE_lin","value_RMSE_lin","value_RelRMSE_lin","value_RMSE_log","value_RMSE_log.CVmean","value_RMSE_log.CVsd","value_Singular","value_Sig","value_ICC","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","maxVIF"
"all",12,"logDBH.cm, logHeight.m, logCanopyDiameter.m",339,"Species&Site","MixedInt",1,0.97607,249.03935,275.82136,2.60708265563489,16.1529284735743,37.6727043421907,62.5380682062339,0.33071,0.33909,0.06237,0,0.33407,0.16025,"12.MixedInt_Species&Site",-1.63002,1.17736,0.86778,0.68682,NA,9.29039,5.47292,3.62643,NA,9.29039
"all",16,"logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",339,NA,"Fixed",2,0.97372,252.76964,275.72564,2.49452501809325,15.455545341346,34.6090786405002,57.4523373983153,0.34513,0.34872,0.05467,NA,0.34771,NA,"16.Fixed",-0.8991,1.15082,0.83505,0.70763,1.8618,11.55534,5.10315,5.38479,1.08854,11.55534
"all",4,"logComp.DBH.H.Den",339,"Site","MixedIntSlope",3,0.97556,283.6227,306.5787,2.59365746596614,16.0697488597654,33.2662876229385,55.2232551566949,0.33651,0.34541,0.05668,0,0.34201,0.63095,"4.MixedIntSlope_Site",-1.56058,0.80675,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",12,"logDBH.cm, logHeight.m, logCanopyDiameter.m",339,NA,"Fixed",4,0.97147,278.60894,297.73894,2.45182062797993,15.190958042007,35.9036804042715,59.6014237146902,0.3596,0.35977,0.04981,NA,0.36174,NA,"12.Fixed",-1.51771,1.08181,0.85324,0.79656,NA,11.09412,5.09042,4.95239,NA,11.09412
"all",1,"logDBH.cm",339,"Site","MixedIntSlope",5,0.97148,323.714,346.67001,2.51663350172464,15.592524793833,28.5742156673409,47.434243958497,0.36058,0.36843,0.07009,0,0.36601,0.50159,"1.MixedIntSlope_Site",-1.0528,2.0227,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",14,"logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",339,"Site","MixedInt",6,0.96937,340.39589,363.35189,2.33417909842708,14.462076198433,33.398004395597,55.4419098207615,0.38052,0.383,0.08048,0,0.38368,0.19141,"14.MixedInt_Site",-0.32298,1.76259,0.57601,2.04875,NA,3.32768,3.37549,1.09138,NA,3.37549
"all",7,"logDBH.cm, logCanopyDiameter.m",339,"Species&Site","MixedInt",7,0.96938,344.2662,367.22221,2.40973524814376,14.9302059984124,34.5427098744456,57.3421628172555,0.37903,0.38582,0.07383,0,0.38318,0.2442,"7.MixedInt_Species&Site",-1.02125,1.75959,0.58165,NA,NA,3.31996,3.31996,NA,NA,3.31996
"all",14,"logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",339,"Species&Site","MixedInt",8,0.96944,342.22299,369.00499,2.48259687972876,15.3816411383442,33.8033345192342,56.1147726629885,0.37955,0.39151,0.06331,0,0.38315,0.18592,"14.MixedInt_Species&Site",-0.33098,1.7633,0.57494,2.02536,NA,3.33453,3.35937,1.04595,NA,3.35937
"all",7,"logDBH.cm, logCanopyDiameter.m",339,"Site","MixedInt",9,0.9668,364.98121,384.11121,2.42207675157602,15.0066713232715,33.8099248553627,56.1257128621991,0.396,0.40113,0.09132,0,0.39927,0.17999,"7.MixedInt_Site",-0.98001,1.6952,0.67596,NA,NA,3.10964,3.10964,NA,NA,3.10964
"all",13,"logDBH.cm, logHeight.m, logWoodDensity.g.cm3",339,"Site","MixedInt",10,0.9662,352.90753,375.86353,2.72655280832358,16.8931400763543,44.5318049111978,73.9244262261329,0.39017,0.40022,0.04464,0,0.39316,0.10043,"13.MixedInt_Site",-0.57014,1.70806,0.61697,3.06351,NA,5.82915,5.82021,1.00401,NA,5.82915
