"size","VarGroup","Model","ModelN","NumPredictors","NumObservations","MixedEffects","Rsq_Fixed","Rsq_MixedInt","Rsq_MixedIntSlope","AIC_Fixed","AIC_MixedInt","AIC_MixedIntSlope","BIC_Fixed","BIC_MixedInt","BIC_MixedIntSlope","RMdSE_lin_Fixed","RelRMdSE_lin_Fixed","RMSE_lin_Fixed","RelRMSE_lin_Fixed","RMSE_log_Fixed","RMSE_log.CVmean_Fixed","RMSE_log.CVsd_Fixed","RMdSE_lin_MixedInt","RelRMdSE_lin_MixedInt","RMSE_lin_MixedInt","RelRMSE_lin_MixedInt","RMSE_log_MixedInt","RMdSE_lin_MixedIntSlope","RelRMdSE_lin_MixedIntSlope","RMSE_lin_MixedIntSlope","RelRMSE_lin_MixedIntSlope","RMSE_log_MixedIntSlope","RMSE_log.CVmean_MixedInt","RMSE_log.CVmean_MixedIntSlope","RMSE_log.CVsd_MixedInt","RMSE_log.CVsd_MixedIntSlope","Sig_Fixed","Singular_MixedInt","Singular_MixedIntSlope","Sig_MixedInt","Sig_MixedIntSlope","ICC_MixedInt","ICC_MixedIntSlope"
"all",1,"logDBH.cm",1,1,339,"Species&Site",0.94947,0.96127,0.97725,468.35014,409.98266,268.91059,479.82814,429.11266,303.34459,3.00854858891757,18.6403258297247,61.7801906206505,102.55737787588,0.47854,0.47664,0.07475,2.23009899740145,13.8172180755976,48.0181627990999,79.7119079371495,0.42009,1.82647877732701,11.3164732176395,25.4365520112713,42.2256074361716,0.32263,0.41782,0.33047,0.11675,0.10769,0.47996,0,1,0.42453,0.3288,0.22317,NA
"all",1,"logDBH.cm",1,1,339,"Species",0.94947,0.95643,0.9592,468.35014,432.29358,422.53464,479.82814,447.59758,445.49064,3.00854858891757,18.6403258297247,61.7801906206505,102.55737787588,0.47854,0.47664,0.07475,2.49792268519846,15.4765965625679,58.0266021659146,96.326283642024,0.44493,2.60895262037779,16.1645143765662,50.2746152723194,83.4577016394691,0.43037,0.44446,0.43666,0.10463,0.09171,0.47996,0,0,0.44679,0.43385,0.12425,0.17297
"all",1,"logDBH.cm",1,1,339,"Site",0.94947,0.95445,0.97148,468.35014,451.03037,323.714,479.82814,466.33437,346.67001,3.00854858891757,18.6403258297247,61.7801906206505,102.55737787588,0.47854,0.47664,0.07475,2.87244501392437,17.7970570875116,49.8592460431131,82.7681735145188,0.45443,2.51663350172464,15.592524793833,28.5742156673409,47.434243958497,0.36058,0.45784,0.37092,0.07778,0.06782,0.47996,0,0,0.4578,0.36601,0.08269,0.50159
"all",2,"logHeight.m",2,1,339,"Species&Site",0.81115,0.90298,0.92313,915.26212,728.75651,714.71267,926.74012,747.88651,749.14667,13.8757124318314,85.9709568267126,86.6324455560374,143.813030778062,0.92511,0.92479,0.11215,7.32956004820685,45.4123918724092,83.099905326305,137.948884689117,0.66166,7.38637045984694,45.7643770746403,72.8751872136484,120.975478349325,0.63112,0.67294,0.65125,0.12056,0.09596,0.92785,0,0,0.66921,0.64085,0.5494,0.68267
"all",2,"logHeight.m",2,1,339,"Species",0.81115,0.83549,0.83639,915.26212,879.77284,883.39396,926.74012,895.07685,906.34996,13.8757124318314,85.9709568267126,86.6324455560374,143.813030778062,0.92511,0.92479,0.11215,9.77265591135804,60.5492931310907,86.1275635968948,142.974908244831,0.86065,9.30792797424591,57.6699378825645,89.0448051234522,147.817635963679,0.86014,0.86477,0.87193,0.15138,0.06582,0.92785,0,1,0.86427,0.86375,0.13,0.68267
"all",2,"logHeight.m",2,1,339,"Site",0.81115,0.89766,0.91092,915.26212,739.56683,728.66423,926.74012,754.87083,751.62023,13.8757124318314,85.9709568267126,86.6324455560374,143.813030778062,0.92511,0.92479,0.11215,8.44213992387721,52.3056996522751,84.630746577749,140.490137202505,0.68011,7.73790991944736,47.9424406409378,76.2687590936753,126.608931890864,0.66056,0.68052,0.67351,0.13864,0.10109,0.92785,0,0,0.68611,0.66809,0.53382,0.61129
"all",3,"logCanopyDiameter.m",3,1,339,"Species&Site",0.82228,0.84158,0.84817,894.66451,875.59879,874.7322,906.14251,894.7288,909.1662,8.15945541227078,50.5542466683444,76.5101347727765,127.009624353658,0.89743,0.88769,0.16945,7.1759314489178,44.4605418148562,76.9157292997409,127.682926115086,0.84246,7.36405059982255,45.6260879790741,119.858987661338,198.970306920605,0.826,0.86117,0.84014,0.12404,0.18354,0.90009,0,1,0.85015,0.83454,0.11584,NA
"all",3,"logCanopyDiameter.m",3,1,339,"Species",0.82228,0.8251,0.82864,894.66451,896.23868,898.94249,906.14251,911.54268,921.89849,8.15945541227078,50.5542466683444,76.5101347727765,127.009624353658,0.89743,0.88769,0.16945,8.14913909196598,50.4903289465055,74.8830190080397,124.308552624103,0.89333,7.83245294105681,48.5282090523966,74.3314837778199,123.392983953154,0.88714,0.88858,0.90445,0.17556,0.10209,0.90009,0,0,0.89489,0.8904,0.00571,0.0168
"all",3,"logCanopyDiameter.m",3,1,339,"Site",0.82228,0.83923,0.84521,894.66451,874.37574,869.93385,906.14251,889.67974,892.88985,8.15945541227078,50.5542466683444,76.5101347727765,127.009624353658,0.89743,0.88769,0.16945,7.2236876358169,44.756428970365,76.9311843532036,127.708582069562,0.84647,7.47430014961896,46.3091706915673,118.726036354306,197.089566279584,0.83173,0.85585,0.83617,0.12104,0.12027,0.90009,0,1,0.85302,0.8385,0.10612,0.0168
"all",4,"logComp.DBH.H.Den",4,1,339,"Species&Site",0.95778,0.966,0.97841,407.39294,359.40894,258.66908,418.87094,378.53894,293.10308,3.36592733615911,20.8545683776897,40.4660522135983,67.175127922443,0.4374,0.438,0.05645,2.92210110793494,18.1047156625461,46.4810170923111,77.1601897971162,0.38959,2.37628408913265,14.7229497467946,32.1043641022898,53.2944195805512,0.31648,0.39657,0.33434,0.04195,0.04728,0.43869,0,0,0.39377,0.32286,0.21285,NA
