"VarGroup","Model","ModelN","NumPredictors","MixedEffects","Rsq_Fixed","Rsq_MixedInt","Rsq_MixedIntSlope","AIC_Fixed","AIC_MixedInt","AIC_MixedIntSlope","BIC_Fixed","BIC_MixedInt","BIC_MixedIntSlope","RMSE_Fixed","RMSE.Std_Fixed","RMSE.CVmean_Fixed","RMSE.CVsd_Fixed","RMSE_MixedInt","RMSE_MixedIntSlope","RMSE.Std_MixedInt","RMSE.Std_MixedIntSlope","RMSE.CVmean_MixedInt","RMSE.CVmean_MixedIntSlope","RMSE.CVsd_MixedInt","RMSE.CVsd_MixedIntSlope","Sig_Fixed","Singular_MixedInt","Singular_MixedIntSlope","Sig_MixedInt","Sig_MixedIntSlope","ICC_MixedInt","ICC_MixedIntSlope","ICC2_MixedInt","ICC2_MixedIntSlope"
1,"DBH.cm",1,1,"Species&Site",0.93145,0.94568,0.96368,871.77524,784.07905,649.1979,884.43701,805.182,687.18321,0.57217,0.25753,0.57016,0.07856,0.50563,0.42388,0.22759,0.19079,0.50894,0.43788,0.0941,0.0673,0.57331,0,0,0.51026,0.43133,0.22017,0.44881,0.22017,0.38472
1,"DBH.cm",1,1,"Species",0.93145,0.94171,0.95279,871.77524,804.66629,736.88118,884.43701,821.54865,762.20472,0.57217,0.25753,0.57016,0.07856,0.52734,0.48486,0.23736,0.21824,0.52782,0.48552,0.08341,0.08734,0.57331,0,0,0.52887,0.48766,0.14144,0.26328,0.14144,0.22074
1,"DBH.cm",1,1,"Site",0.93145,0.93464,0.95295,871.77524,857.88467,748.35063,884.43701,874.76703,773.67417,0.57217,0.25753,0.57016,0.07856,0.5526,0.47856,0.24873,0.2154,0.55573,0.49021,0.09441,0.05067,0.57331,0,0,0.55622,0.48507,0.05684,0.34506,0.05684,0.27514
2,"Height.m",2,1,"Species&Site",0.90556,0.93671,0.9631,1699.49038,1456.3792,1366.06069,1712.73567,1478.45468,1405.79656,0.96744,1.25958,0.97013,0.05223,0.75847,0.67408,0.98751,0.87764,0.76857,0.69889,0.08521,0.05315,0.96903,0,0,0.76508,0.6851,0.48788,0.78956,0.48788,0.78667
2,"Height.m",2,1,"Species",0.90556,0.91363,0.91459,1699.49038,1670.2575,1670.48581,1712.73567,1687.91789,1696.97639,0.96744,1.25958,0.97013,0.05223,0.9346,0.92717,1.21683,1.20716,0.93957,0.93314,0.07836,0.09291,0.96903,0,0,0.93675,0.93092,0.06508,0.08146,0.06508,0.08681
2,"Height.m",2,1,"Site",0.90556,0.93311,0.95926,1699.49038,1470.76169,1387.13685,1712.73567,1488.42208,1413.62744,0.96744,1.25958,0.97013,0.05223,0.77377,0.69735,1.00742,0.90793,0.78362,0.71454,0.05599,0.06197,0.96903,0,0,0.77934,0.70663,0.42665,0.75073,0.42665,0.76622
3,"CanopyDiameter.m",3,1,"Species&Site",0.91285,0.91844,0.93757,1489.50949,1429.66712,1380.43638,1502.41185,1451.17105,1419.14345,0.94372,1.57559,0.93912,0.11998,0.86404,0.80778,1.44255,1.34863,0.87119,0.82211,0.09716,0.11886,0.94546,0,1,0.87061,0.81699,0.21737,NA,0.21737,0.39765
3,"CanopyDiameter.m",3,1,"Species",0.91285,0.91639,0.91656,1489.50949,1475.94614,1476.33764,1502.41185,1493.14928,1502.14236,0.94372,1.57559,0.93912,0.11998,0.92266,0.9192,1.54042,1.53464,0.92132,0.92572,0.09257,0.09605,0.94546,0,1,0.92491,0.92148,0.03927,NA,0.03927,0.03056
3,"CanopyDiameter.m",3,1,"Site",0.91285,0.91595,0.93569,1489.50949,1435.69053,1380.8517,1502.41185,1452.89368,1406.65641,0.94372,1.57559,0.93912,0.11998,0.8743,0.8165,1.45968,1.36317,0.88667,0.83244,0.07576,0.09212,0.94546,0,0,0.87966,0.82453,0.20728,0.32833,0.20728,0.39425
4,"Comp.DBH.H.Den",4,1,"Species&Site",0.95723,0.96501,0.97796,501.64007,443.78079,321.98005,513.65173,463.80023,358.01503,0.44618,0.18085,0.44359,0.0887,0.39791,0.32235,0.16129,0.13066,0.40453,0.34268,0.05797,0.02408,0.44728,0,1,0.40221,0.32891,0.20164,NA,0.20164,0.55909
4,"Comp.DBH.H.Den",4,1,"Species",0.95723,0.96079,0.96091,501.64007,477.34813,479.018,513.65173,493.36368,503.04133,0.44618,0.18085,0.44359,0.0887,0.42657,0.42528,0.1729,0.17238,0.42676,0.42983,0.06115,0.08084,0.44728,0,1,0.42802,0.42673,0.07387,NA,0.07387,0.05892
4,"Comp.DBH.H.Den",4,1,"Site",0.95723,0.96132,0.97457,501.64007,472.79137,357.9927,513.65173,488.80691,382.01603,0.44618,0.18085,0.44359,0.0887,0.41849,0.34429,0.16963,0.13955,0.42469,0.35226,0.05818,0.0523,0.44728,0,0,0.42189,0.35034,0.10207,0.58109,0.10207,0.47402
5,"Comp.Can.H.Den",5,1,"Species&Site",0.95281,0.95315,0.9699,1155.13103,1142.63265,1039.06613,1168.03339,1164.13657,1077.7732,0.69441,1.15935,0.69696,0.0452,0.66773,0.5892,1.11479,0.98369,0.6802,0.60239,0.06843,0.0623,0.69569,0,0,0.67247,0.59603,0.11555,NA,0.11555,0.44097
5,"Comp.Can.H.Den",5,1,"Species",0.95281,0.95351,0.95355,1155.13103,1153.36953,1156.0061,1168.03339,1170.57267,1181.81082,0.69441,1.15935,0.69696,0.0452,0.68824,0.68696,1.14904,1.14691,0.68916,0.69192,0.08143,0.05722,0.69569,0,1,0.68961,0.68841,0.0139,NA,0.0139,0.01071
5,"Comp.Can.H.Den",5,1,"Site",0.95281,0.95197,0.96862,1155.13103,1148.07446,1041.7775,1168.03339,1165.2776,1067.58222,0.69441,1.15935,0.69696,0.0452,0.67657,0.59798,1.12956,0.99835,0.68423,0.60957,0.05759,0.04426,0.69569,0,0,0.68026,0.60373,0.07456,0.40987,0.07456,0.41372
6,"DBH.cm, Height.m",6,2,"Species&Site",0.95518,0.96564,0.97658,522.58209,442.46866,343.00856,538.59764,466.49199,407.07076,0.45673,0.18513,0.45735,0.05931,0.3965,0.32795,0.16071,0.13293,0.40537,0.39872,0.06993,0.05338,0.45844,0,1,0.40069,0.33436,0.22922,NA,0.22922,0.64959
6,"DBH.cm, Height.m",6,2,"Species",0.95518,0.96221,0.96278,522.58209,469.38698,474.19876,538.59764,489.40641,514.23764,0.45673,0.18513,0.45735,0.05931,0.42029,0.41466,0.17036,0.16807,0.42283,0.46022,0.06939,0.04044,0.45844,0,1,0.42179,0.41724,0.13649,NA,0.13649,0.17399
6,"DBH.cm, Height.m",6,2,"Site",0.95518,0.95869,0.97213,522.58209,501.03314,389.74401,538.59764,521.05258,429.78288,0.45673,0.18513,0.45735,0.05931,0.43325,0.35779,0.17561,0.14503,0.44138,0.43183,0.04902,0.05513,0.45844,0,1,0.43662,0.36368,0.08191,NA,0.08191,0.43622
7,"DBH.cm, CanopyDiameter.m",7,2,"Species&Site",0.95908,0.96938,0.9748,398.7948,344.2662,297.19312,414.0988,367.22221,358.40912,0.43061,0.17047,0.42775,0.08299,0.37903,0.33718,0.15005,0.13348,0.38768,0.3733,0.07182,0.0709,0.43253,0,1,0.38318,0.3423,0.2442,NA,0.2442,0.60923
7,"DBH.cm, CanopyDiameter.m",7,2,"Species",0.95908,0.96309,0.96647,398.7948,377.17587,364.771,414.0988,396.30587,403.031,0.43061,0.17047,0.42775,0.08299,0.40962,0.39071,0.16216,0.15468,0.41252,0.41612,0.04351,0.06343,0.43253,0,1,0.41129,0.39388,0.09061,NA,0.09061,0.16519
7,"DBH.cm, CanopyDiameter.m",7,2,"Site",0.95908,0.9668,0.9787,398.7948,364.98121,236.45376,414.0988,384.11121,274.71376,0.43061,0.17047,0.42775,0.08299,0.396,0.31382,0.15677,0.12423,0.40573,0.33152,0.06243,0.04844,0.43253,0,1,0.39927,0.31837,0.17999,NA,0.17999,0.48821
8,"DBH.cm, WoodDensity.g.cm3",8,2,"Species&Site",0.94163,0.94544,0.95646,792.97811,776.26303,720.93471,809.86047,801.58657,788.46415,0.52801,0.23766,0.52486,0.09374,0.5068,0.45746,0.22811,0.20591,0.51164,0.51494,0.08648,0.0898,0.52959,1,0,0.51026,0.46441,NA,NA,0.0668,0.22244
8,"DBH.cm, WoodDensity.g.cm3",8,2,"Species",0.94163,0.94174,0.95281,792.97811,794.97811,733.37622,809.86047,816.08106,775.58212,0.52801,0.23766,0.52486,0.09374,0.52801,0.48558,0.23766,0.21856,0.52438,0.4895,0.10363,0.06278,0.52959,1,1,0.52801,0.48697,NA,NA,0,0.13534
8,"DBH.cm, WoodDensity.g.cm3",8,2,"Site",0.94163,0.94544,0.96673,792.97811,774.26303,608.62985,809.86047,795.36598,650.83575,0.52801,0.23766,0.52486,0.09374,0.5068,0.40387,0.22811,0.18178,0.51308,0.43698,0.06788,0.07462,0.52959,0,0,0.51026,0.41183,0.0668,NA,0.0668,0.36917
9,"Height.m, CanopyDiameter.m",9,2,"Species&Site",0.9598,0.96142,0.97777,1069.84614,1037.94529,916.77807,1087.04928,1063.75001,985.59064,0.64097,1.07013,0.64483,0.0488,0.60366,0.51149,1.00784,0.85396,0.61499,0.69104,0.05356,0.1571,0.64274,0,1,0.60794,0.51862,0.19604,NA,0.19604,0.62353
9,"Height.m, CanopyDiameter.m",9,2,"Species",0.9598,0.95987,0.96238,1069.84614,1071.84614,1065.45326,1087.04928,1093.35006,1108.46112,0.64097,1.07013,0.64483,0.0488,0.64097,0.61832,1.07013,1.03231,0.6358,0.62815,0.11053,0.08483,0.64274,1,1,0.64097,0.62136,NA,NA,0,0.29121
9,"Height.m, CanopyDiameter.m",9,2,"Site",0.9598,0.96113,0.97832,1069.84614,1036.59921,892.44034,1087.04928,1058.10314,935.4482,0.64097,1.07013,0.64483,0.0488,0.60621,0.50848,1.01209,0.84892,0.61202,0.68627,0.08762,0.10116,0.64274,0,1,0.60986,0.51459,0.16543,NA,0.16543,0.59654
10,"Height.m, WoodDensity.g.cm3",10,2,"Species&Site",0.90812,0.93553,0.93983,1684.73084,1454.73112,1455.10372,1702.39123,1481.2217,1525.74528,0.95426,1.24242,0.95239,0.11205,0.76052,0.74038,0.99018,0.96395,0.77079,0.9457,0.09665,0.14774,0.95661,0,1,0.76612,0.74827,0.44575,NA,0.44575,0.48969
10,"Height.m, WoodDensity.g.cm3",10,2,"Species",0.90812,0.91287,0.91532,1684.73084,1670.65859,1676.90651,1702.39123,1692.73408,1721.05748,0.95426,1.24242,0.95239,0.11205,0.93471,0.92707,1.21697,1.20702,0.93968,0.94602,0.06641,0.10718,0.95661,0,1,0.93675,0.93019,0.03736,NA,0.03736,0.1216
10,"Height.m, WoodDensity.g.cm3",10,2,"Site",0.90812,0.93547,0.9622,1684.73084,1452.73466,1370.58644,1702.39123,1474.81015,1414.73741,0.95426,1.24242,0.95239,0.11205,0.76081,0.68177,0.99055,0.88764,0.77187,1.03808,0.07322,0.17152,0.95661,0,1,0.7663,0.69098,0.44341,NA,0.44341,0.7825
