"VarGroup","Model","ModelN","NumPredictors","MixedEffects","Rsq_Fixed","Rsq_MixedInt","Rsq_MixedIntSlope","AIC_Fixed","AIC_MixedInt","AIC_MixedIntSlope","BIC_Fixed","BIC_MixedInt","BIC_MixedIntSlope","RMSE_Fixed","RMSE.Std_Fixed","RMSE.CVmean_Fixed","RMSE.CVsd_Fixed","RMSE_MixedInt","RMSE_MixedIntSlope","RMSE.Std_MixedInt","RMSE.Std_MixedIntSlope","RMSE.CVmean_MixedInt","RMSE.CVmean_MixedIntSlope","RMSE.CVsd_MixedInt","RMSE.CVsd_MixedIntSlope","Sig_Fixed","Singular_MixedInt","Singular_MixedIntSlope","Sig_MixedInt","Sig_MixedIntSlope","ICC_MixedInt","ICC_MixedIntSlope","ICC2_MixedInt","ICC2_MixedIntSlope"
1,"DBH.cm",1,1,"Species&Site",0.89737,0.94777,0.96032,240.11079,120.42181,70.76855,250.83863,138.30155,102.9521,0.37699,0.09462,0.37748,0.04036,0.27706,0.24087,0.06954,0.06046,0.2863,0.25429,0.05528,0.02659,0.37842,0,1,0.28211,0.24774,0.49119,NA,0.49119,0.58587
1,"DBH.cm",1,1,"Species",0.89737,0.9306,0.93465,240.11079,161.27436,158.39128,250.83863,175.57816,179.84698,0.37699,0.09462,0.37748,0.04036,0.31497,0.30773,0.07906,0.07724,0.31829,0.31305,0.05149,0.06367,0.37842,0,0,0.31673,0.31062,0.31212,0.3359,0.31212,0.37136
1,"DBH.cm",1,1,"Site",0.89737,0.92416,0.93803,240.11079,203.60057,163.22181,250.83863,217.90437,184.67751,0.37699,0.09462,0.37748,0.04036,0.33438,0.30174,0.08393,0.07574,0.34786,0.31423,0.04589,0.06169,0.37842,0,0,0.33887,0.3079,0.22976,0.29856,0.22976,0.37557
2,"Height.m",2,1,"Species&Site",0.39125,0.75698,0.79001,617.09898,539.26499,535.86542,627.52837,556.64731,567.15359,0.86893,0.21803,0.87139,0.11477,0.68133,0.65066,0.17096,0.16326,0.70576,0.68395,0.11301,0.1458,0.87259,0,1,0.69376,0.66806,0.46589,NA,0.46589,0.45405
2,"Height.m",2,1,"Species",0.39125,0.49637,0.52914,617.09898,594.63329,592.25593,627.52837,608.53914,613.11471,0.86893,0.21803,0.87139,0.11477,0.80781,0.79645,0.20269,0.19984,0.81345,0.80522,0.08477,0.11617,0.87259,0,1,0.81252,0.80114,0.12841,NA,0.12841,0.09889
2,"Height.m",2,1,"Site",0.39125,0.74412,0.77219,617.09898,544.64095,538.40224,627.52837,558.54681,559.26102,0.86893,0.21803,0.87139,0.11477,0.6996,0.67297,0.17554,0.16886,0.7197,0.70525,0.08563,0.11019,0.87259,0,0,0.70986,0.68777,0.45071,0.45895,0.45071,0.40712
3,"CanopyDiameter.m",3,1,"Species&Site",0.69891,0.76678,0.81552,393.17753,373.07509,370.31638,403.13189,389.66568,400.17946,0.62502,0.1574,0.62108,0.11325,0.56303,0.52761,0.14179,0.13287,0.58587,0.56262,0.06917,0.07573,0.62811,1,0,0.57006,0.54099,NA,NA,0.23799,0.35075
3,"CanopyDiameter.m",3,1,"Species",0.69891,0.71642,0.73179,393.17753,393.83487,396.32429,403.13189,407.10735,416.23301,0.62502,0.1574,0.62108,0.11325,0.61613,0.60753,0.15517,0.153,0.62752,0.63054,0.0764,0.08859,0.62811,0,0,0.61884,0.61264,0.0212,0.04461,0.0212,0.03739
3,"CanopyDiameter.m",3,1,"Site",0.69891,0.76678,0.80282,393.17753,371.07509,368.55576,403.13189,384.34757,388.46448,0.62502,0.1574,0.62108,0.11325,0.56303,0.53877,0.14179,0.13568,0.57999,0.56534,0.13608,0.11351,0.62811,0,0,0.57006,0.55062,0.23799,0.32289,0.23799,0.30417
4,"Comp.DBH.H.Den",4,1,"Species&Site",0.91018,0.94357,0.96046,159.74172,100.77297,53.78472,170.17111,118.15529,85.07289,0.33377,0.08375,0.33389,0.04837,0.27382,0.23092,0.06871,0.05794,0.27756,0.24462,0.05745,0.04582,0.33518,0,1,0.27863,0.23818,0.37782,NA,0.37782,0.58571
4,"Comp.DBH.H.Den",4,1,"Species",0.91018,0.91915,0.92146,159.74172,144.56945,146.70363,170.17111,158.4753,167.56241,0.33377,0.08375,0.33389,0.04837,0.31573,0.3118,0.07922,0.07824,0.32141,0.32145,0.04459,0.04656,0.33518,0,0,0.31751,0.31465,0.09496,0.11118,0.09496,0.12334
4,"Comp.DBH.H.Den",4,1,"Site",0.91018,0.93339,0.95105,159.74172,128.5978,87.50824,170.17111,142.50365,108.36702,0.33377,0.08375,0.33389,0.04837,0.29785,0.25707,0.07474,0.0645,0.29808,0.26715,0.07115,0.06409,0.33518,0,0,0.30166,0.2639,0.2174,0.4592,0.2174,0.46296
5,"Comp.Can.H.Den",5,1,"Species&Site",0.82266,0.82534,0.85632,285.1924,289.10781,284.87402,295.14676,305.69841,314.7371,0.47968,0.1208,0.48112,0.07316,0.47798,0.44713,0.12038,0.11261,0.48318,0.46512,0.0895,0.09065,0.48205,1,1,0.47873,0.45336,NA,NA,0.00397,0.09343
5,"Comp.Can.H.Den",5,1,"Species",0.82266,0.82534,0.83712,285.1924,287.10781,286.56657,295.14676,300.38029,306.47529,0.47968,0.1208,0.48112,0.07316,0.47798,0.46697,0.12038,0.1176,0.47909,0.48127,0.08403,0.05611,0.48205,0,1,0.47873,0.46953,0.00397,NA,0.00397,0.0427
5,"Comp.Can.H.Den",5,1,"Site",0.82266,0.82338,0.84034,285.1924,287.1924,284.68902,295.14676,300.46488,304.59774,0.47968,0.1208,0.48112,0.07316,0.47968,0.45948,0.1208,0.11572,0.47967,0.47068,0.07188,0.05997,0.48205,1,1,0.47968,0.46394,NA,NA,0,0.07041
6,"DBH.cm, Height.m",6,2,"Species&Site",0.90826,0.94778,0.95594,166.79339,84.53283,88.88812,180.69924,105.39161,144.51154,0.33732,0.08464,0.33926,0.04364,0.2631,0.24296,0.06602,0.06096,0.27509,0.30057,0.04543,0.04392,0.33945,0,0,0.2677,0.25081,0.43427,NA,0.43427,0.55392
