"ModelN","VarGroup","Model","NumPredictors","MixedEffects","Effects","masterrank_global","masterrank_family","ModelName","value_Rsq","value_AIC","value_BIC","value_RMSE","value_RMSE.Std","value_RMSE.CVmean","value_RMSE.CVsd","value_Singular","value_Sig","value_ICC","maxVIF","value_ICC2","globalrank_Rsq","globalrank_AIC","globalrank_BIC","globalrank_RMSE","globalrank_RMSE.Std","globalrank_RMSE.CVmean","globalrank_RMSE.CVsd","globalrank_Singular","globalrank_Sig","globalrank_ICC","globalrank_ICC2","familyrank_Rsq","familyrank_AIC","familyrank_BIC","familyrank_RMSE","familyrank_RMSE.Std","familyrank_RMSE.CVmean","familyrank_RMSE.CVsd","familyrank_Singular","familyrank_Sig","familyrank_ICC","familyrank_ICC2","globalranks_mean","familyranks_mean"
16,16,"DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,"Site","MixedInt",1,1,"16.MixedInt_Site",0.96152,18.56644,41.79328,0.23236,0.05852,0.24906,0.0266,0,0.2354,0.33031,4.2076,0.33031,10.5,4,1,10.5,11.5,5,2,24,9.5,17,53.5,3.5,2,1,3.5,3.5,2,1,1.5,3.5,1,2.5,7.1,2.7
12,12,"DBH.cm, Height.m, CanopyDiameter.m",3,"Species&Site","MixedInt",2,1,"12.MixedInt_Species&Site",0.9605,26.44317,49.67001,0.23248,0.05855,0.24314,0.03229,0,0.23662,0.42893,4.22674,0.42893,12,7,3,12,13,2,7,24,11,12,66,3,2,1,3,3,1,1,2,3,1,4,9,2.4
14,14,"DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",3,"Site","MixedInt",3,1,"14.MixedInt_Site",0.95921,40.43938,60.3481,0.24363,0.06136,0.24529,0.06545,0,0.24702,0.51768,2.86642,0.51768,16.5,11,6,19.5,20,4,60,24,16.5,2,80,3.5,3,2,3.5,3.5,1,5,1.5,3.5,1,4,13.9,3.1
7,7,"DBH.cm, CanopyDiameter.m",2,"Species&Site","MixedInt",4,1,"7.MixedInt_Species&Site",0.95805,47.25437,67.16309,0.24367,0.06136,0.25132,0.05788,0,0.24818,0.55404,2.74967,0.55404,18,14,8,21,20,6,48,24,20,1,83,2,1,1,2,2,1,6,2,2,1,4,16.2,1.6
12,12,"DBH.cm, Height.m, CanopyDiameter.m",3,"Site","MixedInt",5,2,"12.MixedInt_Site",0.95357,49.36321,69.27192,0.25302,0.06372,0.26219,0.04806,0,0.25622,0.25901,4.0083,0.25901,24,18,10,23,23,10,31,24,23,24,42,5,5,3,5,5,3,3,2,5,2,2,19.6,4.6
12,12,"DBH.cm, Height.m, CanopyDiameter.m",3,"Species","MixedInt",6,3,"12.MixedInt_Species",0.94958,47.59758,67.5063,0.25688,0.06469,0.25834,0.0597,0,0.25867,0.18417,4.17384,0.18417,29,16,9,24,25,9,51,24,24,31,32,6,4,2,6,6,2,4,2,6,3,1,20.4,4.8
7,7,"DBH.cm, CanopyDiameter.m",2,"Site","MixedInt",7,2,"7.MixedInt_Site",0.95166,69.00058,85.59118,0.26322,0.06629,0.27515,0.04936,0,0.26685,0.47542,2.58585,0.47542,26,25,17,31,31,18,34,24,30,4,75,4,4,2,4,4,3,4,2,4,2,3,25.8,3.6
16,16,"DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,NA,"Fixed",8,2,"16.Fixed",0.94455,54.0067,73.91542,0.26821,0.06755,0.26885,0.05069,NA,0.27156,NA,4.15314,NA,38,21,13,32,32,13,35,NA,32,NA,NA,7,6,5,7,7,4,2,NA,7,NA,NA,27.2,6.4
4,4,"Comp.DBH.H.Den",1,"Site","MixedIntSlope",9,1,"4.MixedIntSlope_Site",0.95105,87.50824,108.36702,0.25707,0.0645,0.26715,0.06409,0,0.2639,0.4592,-Inf,0.46296,27,31,28,25,24,12,58,24,26,6,73,2,2,2,2,2,2,6,3,2,1,5,27.4,2
13,13,"DBH.cm, Height.m, WoodDensity.g.cm3",3,"Site","MixedInt",10,1,"13.MixedInt_Site",0.94846,75.32483,96.18361,0.26309,0.06601,0.27135,0.05091,0,0.2666,0.2709,1.96414,0.2709,32.5,28,21,28.5,28.5,14,36,24,28.5,23,43.5,3.5,3,2,3.5,3.5,1,5,1.5,3.5,1,2.5,27.7,3.1
6,6,"DBH.cm, Height.m",2,"Species&Site","MixedInt",11,1,"6.MixedInt_Species&Site",0.94778,84.53283,105.39161,0.2631,0.06602,0.27509,0.04543,0,0.2677,0.43427,2.0313,0.43427,34,30,26,30,30,17,25,24,31,11,67,3,1,1,2,2,1,6,2.5,2,1,3,30.2,1.8
12,12,"DBH.cm, Height.m, CanopyDiameter.m",3,NA,"Fixed",12,4,"12.Fixed",0.93915,70.97163,87.56223,0.28097,0.07076,0.28525,0.04164,NA,0.28377,NA,3.99321,NA,43,27,18,40,40,21,14,NA,40,NA,NA,7,7,5,7,7,4,2,NA,7,NA,NA,33.6,6.6
4,4,"Comp.DBH.H.Den",1,"Species&Site","MixedInt",13,2,"4.MixedInt_Species&Site",0.94357,100.77297,118.15529,0.27382,0.06871,0.27756,0.05745,0,0.27863,0.37782,-Inf,0.37782,39,36,33,36,36,19,47,24,35,13,63,3,3,3,3,3,3,5,3,3,2,4,35.8,3
8,8,"DBH.cm, WoodDensity.g.cm3",2,"Species&Site","MixedInt",14,1,"8.MixedInt_Species&Site",0.94888,115.30021,136.75591,0.27726,0.06959,0.28671,0.04619,0,0.28173,0.34606,1.00029,0.34606,30,44,39,38,38,23,29,24,37,15,55,3,4,3,3,3,2,3,2,3,2,3,37.6,3.2
8,8,"DBH.cm, WoodDensity.g.cm3",2,"Site","MixedInt",15,2,"8.MixedInt_Site",0.94875,113.5184,131.39815,0.27812,0.06981,0.28498,0.04572,0,0.28217,0.36019,1.00054,0.36019,31,43,37,39,39,20,26,24,39,14,58,4,3,2,4,4,1,2,2,4,1,4,37.8,3.4
7,7,"DBH.cm, CanopyDiameter.m",2,"Species","MixedInt",16,3,"7.MixedInt_Species",0.93885,95.37374,111.96434,0.28901,0.07278,0.29616,0.03107,0,0.29108,0.28468,2.80758,0.28468,44,33,29,45,45,29,6,24,45.5,21,48,6,5,5,6,6,4,2,2,6,3,1,39.3,5.6
1,1,"DBH.cm",1,"Species&Site","MixedInt",17,1,"1.MixedInt_Species&Site",0.94777,120.42181,138.30155,0.27706,0.06954,0.2863,0.05528,0,0.28211,0.49119,-Inf,0.49119,35,47,41,37,37,22,43,24,38,3,78,2,2,2,2,2,2,5,3,2,1,5,39.6,2
