"size","VarGroup","MixedEffects","Model","ModelN","NumPredictors","NumObservations","(Intercept)_Fixed","(Intercept)_MixedInt","(Intercept)_MixedIntSlope","slope.var1_Fixed","slope.var1_MixedInt","slope.var1_MixedIntSlope","slope.var2_Fixed","slope.var2_MixedInt","slope.var2_MixedIntSlope","slope.var3_Fixed","slope.var3_MixedInt","slope.var3_MixedIntSlope","slope.var4_Fixed","slope.var4_MixedInt","slope.var4_MixedIntSlope","VIF.var1_Fixed","VIF.var1_MixedInt","VIF.var1_MixedIntSlope","VIF.var2_Fixed","VIF.var2_MixedInt","VIF.var2_MixedIntSlope","VIF.var3_Fixed","VIF.var3_MixedInt","VIF.var3_MixedIntSlope","VIF.var4_Fixed","VIF.var4_MixedInt","VIF.var4_MixedIntSlope","maxVIF_Fixed","maxVIF_MixedInt","maxVIF_MixedIntSlope"
"all",1,"Species&Site","logDBH.cm",1,1,503,-0.9557,-0.96022,-1.09146,1.98222,1.98266,2.05378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"all",1,"Species","logDBH.cm",1,1,503,-0.9557,-0.94203,-1.02525,1.98222,1.98562,2.03848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"all",1,"Site","logDBH.cm",1,1,503,-0.9557,-0.941,-1.0528,1.98222,1.9706,2.0227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"all",2,"Species&Site","logHeight.m",2,1,611,-2.55667,-2.3177,-2.83366,2.74547,2.60707,2.96589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"all",2,"Species","logHeight.m",2,1,611,-2.55667,-2.59707,-2.58842,2.74547,2.78075,2.77791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"all",2,"Site","logHeight.m",2,1,611,-2.55667,-2.28225,-2.74473,2.74547,2.59326,2.93227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"all",3,"Species&Site","logCanopyDiameter.m",3,1,545,0.64369,0.68313,0.34413,2.46775,2.32901,2.51145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"all",3,"Species","logCanopyDiameter.m",3,1,545,0.64369,0.64614,0.64605,2.46775,2.46721,2.45996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"all",3,"Site","logCanopyDiameter.m",3,1,545,0.64369,0.67717,0.35029,2.46775,2.31581,2.49575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"all",4,"Species&Site","logComp.DBH.H.Den",4,1,405,-1.48191,-1.47898,-1.60467,0.80078,0.79672,0.81201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"all",4,"Species","logComp.DBH.H.Den",4,1,405,-1.48191,-1.48084,-1.47379,0.80078,0.80153,0.80032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"all",4,"Site","logComp.DBH.H.Den",4,1,405,-1.48191,-1.45985,-1.56058,0.80078,0.7951,0.80675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"all",5,"Species&Site","logComp.Can.H.Den",5,1,545,-0.08245,-0.0049,-0.48229,0.89199,0.86345,0.95402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
