"size","ModelN","VarGroup","Effects","MixedEffects","Model","NumPredictors","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","maxVIF"
"all",12,12,"MixedInt","Species&Site","logDBH.cm, logHeight.m, logCanopyDiameter.m",3,"12.MixedInt_Species&Site",-1.63002,1.17736,0.86778,0.68682,NA,9.29039,5.47292,3.62643,NA,9.29039
"all",16,16,"Fixed",NA,"logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",4,"16.Fixed",-0.8991,1.15082,0.83505,0.70763,1.8618,11.55534,5.10315,5.38479,1.08854,11.55534
"all",4,4,"MixedIntSlope","Site","logComp.DBH.H.Den",1,"4.MixedIntSlope_Site",-1.56058,0.80675,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",12,12,"Fixed",NA,"logDBH.cm, logHeight.m, logCanopyDiameter.m",3,"12.Fixed",-1.51771,1.08181,0.85324,0.79656,NA,11.09412,5.09042,4.95239,NA,11.09412
"all",7,7,"MixedInt","Species&Site","logDBH.cm, logCanopyDiameter.m",2,"7.MixedInt_Species&Site",-1.02125,1.75959,0.58165,NA,NA,3.31996,3.31996,NA,NA,3.31996
"all",14,14,"MixedInt","Site","logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",3,"14.MixedInt_Site",-0.32298,1.76259,0.57601,2.04875,NA,3.32768,3.37549,1.09138,NA,3.37549
"all",14,14,"MixedInt","Species&Site","logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",3,"14.MixedInt_Species&Site",-0.33098,1.7633,0.57494,2.02536,NA,3.33453,3.35937,1.04595,NA,3.35937
"all",7,7,"MixedInt","Site","logDBH.cm, logCanopyDiameter.m",2,"7.MixedInt_Site",-0.98001,1.6952,0.67596,NA,NA,3.10964,3.10964,NA,NA,3.10964
"all",4,4,"MixedInt","Species&Site","logComp.DBH.H.Den",1,"4.MixedInt_Species&Site",-1.47898,0.79672,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",6,6,"MixedInt","Species&Site","logDBH.cm, logHeight.m",2,"6.MixedInt_Species&Site",-1.61139,1.71859,0.60139,NA,NA,6.03746,6.03746,NA,NA,6.03746
"all",5,5,"MixedIntSlope","Site","logComp.Can.H.Den",1,"5.MixedIntSlope_Site",-0.46009,0.94718,NA,NA,NA,NA,NA,NA,NA,-Inf
"all",9,9,"MixedInt","Species&Site","logHeight.m, logCanopyDiameter.m",2,"9.MixedInt_Species&Site",-1.03646,1.54185,1.1273,NA,NA,3.5983,3.5983,NA,NA,3.5983
"all",13,13,"Fixed",NA,"logDBH.cm, logHeight.m, logWoodDensity.g.cm3",3,"13.Fixed",-0.50769,1.74922,0.55988,3.10809,NA,5.05013,5.04648,1.00207,NA,5.05013
"all",6,6,"MixedInt","Species","logDBH.cm, logHeight.m",2,"6.MixedInt_Species",-1.56354,1.76258,0.54176,NA,NA,5.482,5.482,NA,NA,5.482
"all",14,14,"Fixed",NA,"logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",3,"14.Fixed",-0.22969,1.7538,0.50247,2.07506,NA,4.85936,4.94725,1.08582,NA,4.94725
