"VarGroup","MixedEffects","Model","ModelN","NumPredictors","(Intercept)_Fixed","(Intercept)_MixedInt","(Intercept)_MixedIntSlope","slope.var1_Fixed","slope.var1_MixedInt","slope.var1_MixedIntSlope","slope.var2_Fixed","slope.var2_MixedInt","slope.var2_MixedIntSlope","slope.var3_Fixed","slope.var3_MixedInt","slope.var3_MixedIntSlope","slope.var4_Fixed","slope.var4_MixedInt","slope.var4_MixedIntSlope","VIF.var1_Fixed","VIF.var1_MixedInt","VIF.var1_MixedIntSlope","VIF.var2_Fixed","VIF.var2_MixedInt","VIF.var2_MixedIntSlope","VIF.var3_Fixed","VIF.var3_MixedInt","VIF.var3_MixedIntSlope","VIF.var4_Fixed","VIF.var4_MixedInt","VIF.var4_MixedIntSlope","Rsq.var1_Fixed","Rsq.var1_MixedInt","Rsq.var1_MixedIntSlope","Rsq.var2_Fixed","Rsq.var2_MixedInt","Rsq.var2_MixedIntSlope","Rsq.var3_Fixed","Rsq.var3_MixedInt","Rsq.var3_MixedIntSlope","Rsq.var4_Fixed","Rsq.var4_MixedInt","Rsq.var4_MixedIntSlope","maxVIF_Fixed","maxVIF_MixedInt","maxVIF_MixedIntSlope"
1,"Species&Site","DBH.cm",1,1,-0.9557,-0.96022,-1.09146,1.98222,1.98266,2.05378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.931454105456035,0.941377800896995,0.957805121426922,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
1,"Species","DBH.cm",1,1,-0.9557,-0.94203,-1.02525,1.98222,1.98562,2.03848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.931454105456035,0.938813961065386,0.948313960743232,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
1,"Site","DBH.cm",1,1,-0.9557,-0.941,-1.0528,1.98222,1.9706,2.0227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.931454105456035,0.932196123138896,0.946196939334684,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
2,"Species&Site","Height.m",2,1,-2.55667,-2.3177,-2.83366,2.74547,2.60707,2.96589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90555997789946,0.927459720534456,0.950631224930835,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
2,"Species","Height.m",2,1,-2.55667,-2.59707,-2.58842,2.74547,2.78075,2.77791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90555997789946,0.911144931723486,0.911374265456915,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
2,"Site","Height.m",2,1,-2.55667,-2.28225,-2.74473,2.74547,2.59326,2.93227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90555997789946,0.922116334592029,0.943300736184467,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
3,"Species&Site","CanopyDiameter.m",3,1,0.64369,0.68313,0.34413,2.46775,2.32901,2.51145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.912847497571053,0.912284523787192,0.930632622223966,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
3,"Species","CanopyDiameter.m",3,1,0.64369,0.64614,0.64605,2.46775,2.46721,2.45996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.912847497571053,0.914533936974565,0.914585972785515,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
3,"Site","CanopyDiameter.m",3,1,0.64369,0.67717,0.35029,2.46775,2.31581,2.49575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.912847497571053,0.908932486489802,0.927257931171388,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
4,"Species&Site","Comp.DBH.H.Den",4,1,-1.48191,-1.47898,-1.60467,0.80078,0.79672,0.81201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.957230362719559,0.962264388067607,0.972918928213555,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
4,"Species","Comp.DBH.H.Den",4,1,-1.48191,-1.48084,-1.47379,0.80078,0.80153,0.80032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.957230362719559,0.95937439658282,0.959450109875221,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
4,"Site","Comp.DBH.H.Den",4,1,-1.48191,-1.45985,-1.56058,0.80078,0.7951,0.80675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.957230362719559,0.959108907466646,0.968221722323555,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
5,"Species&Site","Comp.Can.H.Den",5,1,-0.08245,-0.0049,-0.48229,0.89199,0.86345,0.95402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.952812877560213,0.950960144573371,0.966593022161718,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
5,"Species","Comp.Can.H.Den",5,1,-0.08245,-0.08203,-0.07968,0.89199,0.89166,0.89043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.952812877560213,0.953032433412465,0.953007355617866,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
5,"Site","Comp.Can.H.Den",5,1,-0.08245,-0.01478,-0.46009,0.89199,0.86319,0.94718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.952812877560213,0.950092500163668,0.964518571738007,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
6,"Species&Site","DBH.cm, Height.m",6,2,-1.56799,-1.61139,-1.57948,1.73798,1.71859,1.82701,0.56602,0.60139,0.44407,NA,NA,NA,NA,NA,NA,5.04598,6.03746,1.29277,5.04598,6.03746,1.29277,NA,NA,NA,NA,NA,NA,0.749143837532775,0.779369830208581,0.840905823198827,0.113785769008782,0.149181708071967,0.112352126879524,NA,NA,NA,NA,NA,NA,5.04598,6.03746,1.29277
6,"Species","DBH.cm, Height.m",6,2,-1.56799,-1.56354,-1.5212,1.73798,1.76258,1.77697,0.56602,0.54176,0.5068,NA,NA,NA,NA,NA,NA,5.04598,5.482,1.9426,5.04598,5.482,1.9426,NA,NA,NA,NA,NA,NA,0.749143837532775,0.77508745852785,0.779609872039394,0.113785769008782,0.116585331831496,0.104450559124816,NA,NA,NA,NA,NA,NA,5.04598,5.482,1.9426
6,"Site","DBH.cm, Height.m",6,2,-1.56799,-1.60198,-1.45153,1.73798,1.68589,1.83627,0.56602,0.63427,0.41193,NA,NA,NA,NA,NA,NA,5.04598,5.822,1.08086,5.04598,5.822,1.08086,NA,NA,NA,NA,NA,NA,0.749143837532775,0.746408894505534,0.816787344859251,0.113785769008782,0.144475581516853,0.0833605432290098,NA,NA,NA,NA,NA,NA,5.04598,5.822,1.08086
7,"Species&Site","DBH.cm, CanopyDiameter.m",7,2,-0.90458,-1.02125,-0.94742,1.69137,1.75959,1.79227,0.59685,0.58165,0.47854,NA,NA,NA,NA,NA,NA,4.55624,3.31996,1.11699,4.55624,3.31996,1.11699,NA,NA,NA,NA,NA,NA,0.769762110360187,0.808832561720986,0.841537468702939,0.190288837047806,0.206959504602825,0.176083911592737,NA,NA,NA,NA,NA,NA,4.55624,3.31996,1.11699
7,"Species","DBH.cm, CanopyDiameter.m",7,2,-0.90458,-0.95544,-0.94329,1.69137,1.75004,1.74145,0.59685,0.52563,0.55393,NA,NA,NA,NA,NA,NA,4.55624,4.7005,1.32419,4.55624,4.7005,1.32419,NA,NA,NA,NA,NA,NA,0.769762110360187,0.791027279086317,0.798206795435521,0.190288837047806,0.161607904627794,0.184284076813576,NA,NA,NA,NA,NA,NA,4.55624,4.7005,1.32419
7,"Site","DBH.cm, CanopyDiameter.m",7,2,-0.90458,-0.98001,-1.02671,1.69137,1.6952,1.76133,0.59685,0.67596,0.56419,NA,NA,NA,NA,NA,NA,4.55624,3.10964,1.0611,4.55624,3.10964,1.0611,NA,NA,NA,NA,NA,NA,0.769762110360187,0.785906745825473,0.853460779856554,0.190288837047806,0.247821319101033,0.252242009036742,NA,NA,NA,NA,NA,NA,4.55624,3.10964,1.0611
8,"Species&Site","DBH.cm, WoodDensity.g.cm3",8,2,0.42106,0.42715,0.39738,1.98609,1.98285,2.02438,3.98719,4.05863,4.08442,NA,NA,NA,NA,NA,NA,1.00035,1.00291,1.00003,1.00035,1.00291,1.00003,NA,NA,NA,NA,NA,NA,0.941222515980494,0.943276942446045,0.951965293790308,0.148393290871354,0.158327791031286,0.178860383320013,NA,NA,NA,NA,NA,NA,1.00035,1.00291,1.00003
8,"Species","DBH.cm, WoodDensity.g.cm3",8,2,0.42106,0.42106,0.30373,1.98609,1.98609,2.03912,3.98719,3.98719,3.88848,NA,NA,NA,NA,NA,NA,1.00035,1.00035,1.00003,1.00035,1.00035,1.00003,NA,NA,NA,NA,NA,NA,0.941222515980494,0.941332514304186,0.95044771577042,0.148393290871354,0.148644954968496,0.158475952302421,NA,NA,NA,NA,NA,NA,1.00035,1.00035,1.00003
8,"Site","DBH.cm, WoodDensity.g.cm3",8,2,0.42106,0.42715,0.3266,1.98609,1.98285,2.04748,3.98719,4.05863,4.06283,NA,NA,NA,NA,NA,NA,1.00035,1.00291,1.00098,1.00035,1.00291,1.00098,NA,NA,NA,NA,NA,NA,0.941222515980494,0.942751031829977,0.959901460736477,0.148393290871354,0.157027994938369,0.202863230750401,NA,NA,NA,NA,NA,NA,1.00035,1.00291,1.00098
9,"Species&Site","Height.m, CanopyDiameter.m",9,2,-0.97649,-1.03646,-1.50689,1.40076,1.54185,1.6693,1.34896,1.1273,1.30292,NA,NA,NA,NA,NA,NA,4.99639,3.5983,1.04234,4.99639,3.5983,1.04234,NA,NA,NA,NA,NA,NA,0.575895945293001,0.600446318468416,0.692486229877774,0.538694253944294,0.501807064371506,0.632369049610348,NA,NA,NA,NA,NA,NA,4.99639,3.5983,1.04234
9,"Species","Height.m, CanopyDiameter.m",9,2,-0.97649,-0.97649,-1.07134,1.40076,1.40076,1.45662,1.34896,1.34896,1.28764,NA,NA,NA,NA,NA,NA,4.99639,4.99639,1.02035,4.99639,4.99639,1.02035,NA,NA,NA,NA,NA,NA,0.575895945293001,0.576344440731932,0.55646930888554,0.538694253944294,0.539150608574995,0.551426801105779,NA,NA,NA,NA,NA,NA,4.99639,4.99639,1.02035
9,"Site","Height.m, CanopyDiameter.m",9,2,-0.97649,-1.03097,-1.64582,1.40076,1.53023,1.68718,1.34896,1.13811,1.30155,NA,NA,NA,NA,NA,NA,4.99639,3.50562,1.01832,4.99639,3.50562,1.01832,NA,NA,NA,NA,NA,NA,0.575895945293001,0.593066428197307,0.690878511511118,0.538694253944294,0.502691010009288,0.625146456364457,NA,NA,NA,NA,NA,NA,4.99639,3.50562,1.01832
10,"Species&Site","Height.m, WoodDensity.g.cm3",10,2,-1.58115,-1.431,-1.50905,2.75831,2.60561,2.63145,2.90652,2.59649,2.38091,NA,NA,NA,NA,NA,NA,1.00775,1.00414,1.00034,1.00775,1.00414,1.00034,NA,NA,NA,NA,NA,NA,0.908014493693371,0.927634459002805,0.930563454453815,0.0270569180692683,0.0312860339658856,0.0270823339694836,NA,NA,NA,NA,NA,NA,1.00775,1.00414,1.00034
10,"Species","Height.m, WoodDensity.g.cm3",10,2,-1.58115,-1.57066,-0.74771,2.75831,2.78047,2.77653,2.90652,3.0027,5.3732,NA,NA,NA,NA,NA,NA,1.00775,1.00092,1.00217,1.00775,1.00092,1.00217,NA,NA,NA,NA,NA,NA,0.908014493693371,0.91101936534227,0.911636813962316,0.0270569180692683,0.0294044412381167,0.089279229971316,NA,NA,NA,NA,NA,NA,1.00775,1.00092,1.00217
10,"Site","Height.m, WoodDensity.g.cm3",10,2,-1.58115,-1.42824,-2.0535,2.75831,2.60541,2.96807,2.90652,2.60408,2.31662,NA,NA,NA,NA,NA,NA,1.00775,1.00473,1.00053,1.00775,1.00473,1.00053,NA,NA,NA,NA,NA,NA,0.908014493693371,0.924440789641989,0.945864748179814,0.0270569180692683,0.0300773516751746,0.0262961404080899,NA,NA,NA,NA,NA,NA,1.00775,1.00473,1.00053
11,"Species&Site","CanopyDiameter.m, WoodDensity.g.cm3",11,2,-0.33355,-0.17887,-0.1318,2.46944,2.32808,2.32574,-2.85756,-2.50091,-2.38348,NA,NA,NA,NA,NA,NA,1.00018,1.00503,1.00197,1.00018,1.00503,1.00197,NA,NA,NA,NA,NA,NA,0.91509239190873,0.913165600058039,0.913394728771575,0.0269910526255661,0.0227948857672304,0.0208477619839667,NA,NA,NA,NA,NA,NA,1.00018,1.00503,1.00197
11,"Species","CanopyDiameter.m, WoodDensity.g.cm3",11,2,-0.33355,-0.32545,0.09435,2.46944,2.46783,2.45975,-2.85756,-2.84034,-1.61386,NA,NA,NA,NA,NA,NA,1.00018,1.00006,1.00001,1.00018,1.00006,1.00001,NA,NA,NA,NA,NA,NA,0.91509239190873,0.915405189430631,0.915005046891472,0.0269910526255661,0.0268145697028971,0.00882920408281721,NA,NA,NA,NA,NA,NA,1.00018,1.00006,1.00001
11,"Site","CanopyDiameter.m, WoodDensity.g.cm3",11,2,-0.33355,-0.17886,-0.28518,2.46944,2.32808,2.51464,-2.85756,-2.5009,-1.83216,NA,NA,NA,NA,NA,NA,1.00018,1.00503,1.00007,1.00018,1.00503,1.00007,NA,NA,NA,NA,NA,NA,0.91509239190873,0.911740939876115,0.929940416241174,0.0269910526255661,0.0224009072140483,0.0133632263800793,NA,NA,NA,NA,NA,NA,1.00018,1.00503,1.00007
12,"Species&Site","DBH.cm, Height.m, CanopyDiameter.m",12,3,-1.51771,-1.63002,-1.49553,1.08181,1.17736,1.47123,0.85324,0.86778,0.54058,0.79656,0.68682,0.54091,NA,NA,NA,11.09412,9.29039,1.20591,5.09042,5.47292,1.07882,4.95239,3.62643,1.1279,NA,NA,NA,0.446128678819118,0.509850990329376,0.697052667348449,0.355763172235526,0.328590972106609,0.282277053486305,0.302623791008543,0.309212197471112,0.212001148602757,NA,NA,NA,11.09412,9.29039,1.20591
12,"Species","DBH.cm, Height.m, CanopyDiameter.m",12,3,-1.51771,-1.53275,-1.48124,1.08181,1.14523,1.15627,0.85324,0.83479,0.7867,0.79656,0.71685,0.73589,NA,NA,NA,11.09412,11.78256,2.24959,5.09042,5.53578,1.51105,4.95239,5.08383,1.62061,NA,NA,NA,0.446128678819118,0.484983598996102,0.495463994769352,0.355763172235526,0.318133097869388,0.334656105594,0.302623791008543,0.302325952470496,0.282488324626272,NA,NA,NA,11.09412,11.78256,2.24959
12,"Site","DBH.cm, Height.m, CanopyDiameter.m",12,3,-1.51771,-1.60404,-1.44736,1.08181,1.10131,1.37343,0.85324,0.89054,0.57953,0.79656,0.7752,0.63691,NA,NA,NA,11.09412,8.99462,1.30532,5.09042,5.27067,1.09568,4.95239,3.5391,1.20668,NA,NA,NA,0.446128678819118,0.462211626550649,0.639808788989179,0.355763172235526,0.350004919567156,0.325715539665318,0.302623791008543,0.327372491080593,0.215015659817797,NA,NA,NA,11.09412,8.99462,1.30532
