"VarGroup","MixedEffects","Model","ModelN","NumPredictors","(Intercept)_Fixed","(Intercept)_MixedInt","(Intercept)_MixedIntSlope","slope.var1_Fixed","slope.var1_MixedInt","slope.var1_MixedIntSlope","slope.var2_Fixed","slope.var2_MixedInt","slope.var2_MixedIntSlope","slope.var3_Fixed","slope.var3_MixedInt","slope.var3_MixedIntSlope","slope.var4_Fixed","slope.var4_MixedInt","slope.var4_MixedIntSlope","VIF.var1_Fixed","VIF.var1_MixedInt","VIF.var1_MixedIntSlope","VIF.var2_Fixed","VIF.var2_MixedInt","VIF.var2_MixedIntSlope","VIF.var3_Fixed","VIF.var3_MixedInt","VIF.var3_MixedIntSlope","VIF.var4_Fixed","VIF.var4_MixedInt","VIF.var4_MixedIntSlope","Rsq.var1_Fixed","Rsq.var1_MixedInt","Rsq.var1_MixedIntSlope","Rsq.var2_Fixed","Rsq.var2_MixedInt","Rsq.var2_MixedIntSlope","Rsq.var3_Fixed","Rsq.var3_MixedInt","Rsq.var3_MixedIntSlope","Rsq.var4_Fixed","Rsq.var4_MixedInt","Rsq.var4_MixedIntSlope","maxVIF_Fixed","maxVIF_MixedInt","maxVIF_MixedIntSlope"
1,"Species&Site","DBH.cm",1,1,-1.19187,-1.43268,-1.48399,2.11707,2.21636,2.25182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.897374247160192,0.936546091239288,0.949276947412322,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
1,"Species","DBH.cm",1,1,-1.19187,-1.28059,-1.33014,2.11707,2.16089,2.18705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.897374247160192,0.922467064086882,0.925660755577173,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
1,"Site","DBH.cm",1,1,-1.19187,-1.44479,-1.46413,2.11707,2.21471,2.23852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.897374247160192,0.912288731738445,0.924627973718681,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
2,"Species&Site","Height.m",2,1,-0.63156,-2.98099,-3.53204,2.04946,3.0502,3.26613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391247080181383,0.66150204497107,0.700896969120204,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
2,"Species","Height.m",2,1,-0.63156,-0.9094,-1.18648,2.04946,2.18405,2.29745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391247080181383,0.442590798644067,0.47429868933051,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
2,"Site","Height.m",2,1,-0.63156,-2.90206,-3.42479,2.04946,3.01115,3.21897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391247080181383,0.620295638445854,0.661273273380141,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
3,"Species&Site","CanopyDiameter.m",3,1,1.80599,1.61675,1.36527,1.87045,1.92673,2.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698910146936621,0.732329533649225,0.769850624159422,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
3,"Species","CanopyDiameter.m",3,1,1.80599,1.74844,1.67407,1.87045,1.91901,1.96581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698910146936621,0.711312066553728,0.722028942606923,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
3,"Site","CanopyDiameter.m",3,1,1.80599,1.61675,1.43646,1.87045,1.92673,2.0455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698910146936621,0.726193858895181,0.754237198841857,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
4,"Species&Site","Comp.DBH.H.Den",4,1,-1.81522,-2.12165,-2.2243,0.85232,0.8953,0.9121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.910182146546649,0.934156109584177,0.947756063554705,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
4,"Species","Comp.DBH.H.Den",4,1,-1.81522,-1.81248,-1.84189,0.85232,0.853,0.85813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.910182146546649,0.914979905299401,0.916294766867339,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
4,"Site","Comp.DBH.H.Den",4,1,-1.81522,-2.12382,-2.21609,0.85232,0.8949,0.91057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.910182146546649,0.923507917490759,0.929799551522517,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
